ds,yhat,yhat_lower,yhat_upper
2024-08-18,5902335.52181895,3414596.9197425228,8516519.632035691
2024-08-19,6308660.940933198,3692868.4679459943,8847440.260420399
2024-08-20,6591846.02541785,3815653.315171372,9256134.708208822
2024-08-21,5529421.616324699,2785054.9377136384,7829943.615179093
2024-08-22,5557375.812501778,3152174.9540516846,8278085.359823928
2024-08-23,5949114.773448071,3334542.1880171434,8600526.521336969
2024-08-24,6329434.131610979,3760212.744423517,9055730.21252644
2024-08-25,5499103.748864208,2834372.601666658,8097361.1127119865
2024-08-26,5925899.39427932,3368359.596979683,8612101.49054442
2024-08-27,5931065.61471218,3298970.5985410414,8608386.087202717
2024-08-28,5521290.231349613,2917304.603372936,8321621.984769855
2024-08-29,5128874.129819768,2647518.636339,7761545.338609215
2024-08-30,5359325.633759156,2712934.2746271323,7993123.790660745
2024-08-31,5447318.387267085,2808566.3189029517,7866680.611300955
2024-09-01,5455860.974643746,2837386.8115479443,8120247.72149216
2024-09-02,5203448.466841884,2437047.089657631,7734858.032074772
2024-09-03,6219973.958218581,3622915.1580019863,8887618.807125026
2024-09-04,4798214.407172601,2400441.118787449,7472347.72735642
2024-09-05,5434137.75275946,2893535.804396707,7884463.379495741
2024-09-06,5584857.395749335,2974839.607227873,8010211.871898786
2024-09-07,5689457.538325554,3113076.0275577516,8390920.223346269
2024-09-08,5538585.859935354,3034644.5361347836,8345608.913028314
2024-09-09,5433468.836217247,2771569.5046861246,8001069.794059125
2024-09-10,6051678.947126806,3509779.7153348955,8730933.49105251
2024-09-11,5197765.331819823,2686953.7926073126,8052888.753361963
2024-09-12,4962290.391869344,2423931.753671363,7735834.539813925
2024-09-13,6371911.584662692,3677001.1096912203,9164686.928705946
2024-09-14,5747229.484159496,3188380.242640429,8282788.280896348
2024-09-15,6047765.1750861015,3518424.676594965,8594695.166604612
2024-09-16,6027284.160626199,3416946.0348495417,8572926.24085474
2024-09-17,6017999.262503089,3464383.0030028475,8582330.474928427
2024-09-18,5791184.024937242,3277274.5381595884,8314768.904179485
2024-09-19,5974011.98432356,3404950.511124648,8565077.11025486
2024-09-20,6523769.837591258,4019151.525123534,9071888.402000941
2024-09-21,6090795.968473451,3614702.6086249277,8903502.223148834
2024-09-22,5706018.995750384,3183520.889466494,8320944.201042056
2024-09-23,6319602.223338634,3733287.710525649,9015780.831712488
2024-09-24,6751145.41969298,4143642.189493174,9285722.35443882
2024-09-25,6524065.614529174,4130409.5323460195,8882487.836856326
2024-09-26,5298030.621957109,2957577.422881186,8153548.532726718
2024-09-27,6795099.267089475,4168371.9578943783,9352309.62704543
2024-09-28,6371003.016859986,3806405.129921424,8762511.748691142
2024-09-29,6323120.568947471,3863771.015939464,8886799.213841826
2024-09-30,6176153.291972075,3653157.4745488544,8662251.353791056
2024-10-01,6431125.985879974,3870528.9920101915,9041058.693964086
2024-10-02,5786365.818718909,3175340.259641658,8498066.124999233
2024-10-03,6100433.19801968,3523535.804744118,8802732.903882926
2024-10-04,6753758.633860703,4049818.6620197836,9375147.418001706
2024-10-05,5624290.932906369,2864822.071893688,8320204.332139853
2024-10-06,5912375.468076661,3341005.9875935307,8473322.957332777
2024-10-07,6127405.074917155,3656018.8906376986,8734522.363384373
2024-10-08,5979408.20120582,3460069.33989637,8553045.178545302
2024-10-09,6068985.248728147,3519470.1272946238,8754347.519636963
2024-10-10,7360027.952990998,4698657.496007675,9899608.871460682
2024-10-11,6444593.748816766,3834299.739238353,8883125.575280784
2024-10-12,6117286.799032575,3494025.415907885,8913105.80875104
2024-10-13,5789641.72852807,3144274.2650346616,8401058.862472182
2024-10-14,5816788.836699716,3270263.161926272,8353149.256298546
