ds,yhat,yhat_lower,yhat_upper
2025-03-16,5464097.254891458,4884192.384125235,5985494.8892206615
2025-03-17,4926421.62906572,4356766.418077289,5469274.820483023
2025-03-18,5434264.877153689,4934315.178015495,5986413.645056465
2025-03-19,5411893.026291764,4817672.078435296,5964019.624538479
2025-03-20,5556997.827114814,5003530.852886708,6139385.677741123
2025-03-21,6566135.149492461,5969193.816321915,7127994.383715055
2025-03-22,6367419.238189558,5811738.755433462,6914356.379286311
2025-03-23,5698123.701637328,5156878.932598503,6255203.725086357
2025-03-24,5011460.4666972095,4446629.364868825,5559221.767269067
2025-03-25,5581393.83964631,5020757.641880118,6113773.552465684
2025-03-26,5507179.2742928155,4954175.012755114,6067042.652375843
2025-03-27,5551762.756325318,4957204.151220433,6092155.218615847
2025-03-28,6470325.235713606,5895611.61827775,6973985.1784783695
2025-03-29,6278990.274472909,5703618.005407786,6820395.908154393
2025-03-30,5519771.09333798,4973678.961854165,6050513.543052953
2025-03-31,4981838.856660084,4423765.997717937,5525700.0739365835
